Account Number,Date,Revenue Amount (USD),Type,Fund,Campaign,Appeal,Primary City,Primary State,Primary ZIP Code
8231,2025-02-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
2139,2025-02-17,78.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
1566,2025-02-15,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,2025-02-15,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9739,2025-02-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
9068,2025-02-15,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
383,2025-02-15,100,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
8831,2025-02-14,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
10592,2025-02-13,5568,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,San Diego,CA,92130
8575,2025-02-12,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,2025-02-12,20,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
752,2025-02-12,102.56,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
9765,2025-02-11,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
1351,2025-02-11,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
323,2025-02-11,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
32,2025-02-11,100,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2025-02-11,30,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,2025-02-10,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
1117,2025-02-10,25,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
186,2025-02-09,103.24,Recurring Donation Payment,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43231
752,2025-02-09,10.91,Donation,Nationwide Childen's Hospital,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43214
866,2025-02-08,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,2025-02-06,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
9719,2025-02-06,51.8,Donation,Golisano Children's Hospital,2025 Celebrating A Decade of Hope and Healing,,St James City,FL,33956
61,2025-02-05,25.87,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
1631,2025-02-03,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,2025-02-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
9109,2025-02-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,2025-02-03,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
2543,2025-02-03,10.53,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,2025-02-02,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
9736,2025-02-01,73.1,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
2544,2025-02-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2025-02-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2025-02-01,5,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2025-02-01,15.64,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2025-02-01,20,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
10443,2025-01-30,50,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,2025-01-30,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
9722,2025-01-29,26.31,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Saint James City,FL,33956
825,2025-01-29,52.3,Recurring Donation Payment,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Saint James City,FL,33956
250,2025-01-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
8202,2025-01-27,50,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Dublin,OH,43016
10827,2025-01-27,330,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Grove City,OH,43123
1707,2025-01-27,5000,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,NEW ALBANY,OH,43054
10826,2025-01-26,0,Donation,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
10825,2025-01-26,26.31,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43220
1334,2025-01-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
8677,2025-01-25,27.35,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Mount Vernon,OH,43050
726,2025-01-25,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43220
8225,2025-01-24,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
2041,2025-01-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
268,2025-01-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Tavares,FL,32778
1239,2025-01-24,52.3,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Kew Gardens,NY,11415
9677,2025-01-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Sewickley,PA,15143
535,2025-01-22,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
